X,Y,GID,STANDORT,EINHEIT_OD,MESSW_ODL,LON,LAT,PETROGRAPH
12.279748711208063,49.956084769315304,80,MP73/BY3/Leonberg,nSvh-1,57.800000000,735242.0,5538905.0,KiesSandTon
12.478162860758303,49.68861767333755,81,MP38/BY4/Leálohe,nSvh-1,61.000000000,750851.0,5509820.0,Paragneis
12.14512722438567,49.73026911421705,82,MP10/BY4/Sáenlohe,nSvh-1,68.900000000,726642.0,5513390.0,Glimmerschiefer
12.440224447699988,49.79223844964116,83,MP68/BY3/Naab,nSvh-1,77.200000000,747587.0,5521211.0,Paragneis
12.066274228675642,49.660160250731366,84,MP50/BY4/Rupprechtsreuth,nSvh-1,74.200000000,721279.0,5505362.0,SandsteinTonstein
12.133756363503393,49.60906750763815,85,MP17/BY15/Rothenstadt,nSvh-1,89.200000000,726385.0,5499884.0,SandKiesSchotter
12.080069346538837,49.721852675473414,86,MP2/BY15/Parkstein,nSvh-1,82.000000000,721993.0,5512260.0,Sandstein-Tonstein-WechsellagenmitdolomitischenEinlagerungen
12.136540809380492,49.772075720588866,87,MP11/BY4/Menzlhof,nSvh-1,55.700000000,725829.0,5518011.0,Glimmerschiefer
12.4119904833728,49.63525586310799,88,MP40/BY4/Pleystein,nSvh-1,90.800000000,746349.0,5503670.0,Paragneis
12.354039105883388,49.85785413016213,89,MP65/BY3/Lodermhl,nSvh-1,118.40000000,741059.0,5528223.0,Granit
12.224489677571528,49.56744537553844,90,MP67/BY4/Deindorf,nSvh-1,79.300000000,733137.0,5495535.0,Paragneis
12.328375422736638,49.825441204007966,91,MP71/BY3/Stein,nSvh-1,150.30000000,739375.0,5524538.0,Granit
11.89054862753962,49.732930687342304,92,MP43/BY15/G”áenreuth,nSvh-1,135.00000000,708288.0,5512948.0,KalksteinMergelsteinDolomitsteinTonstein
12.217006851731355,49.64417275378273,93,MP16/BY15/Bechtsrieth,nSvh-1,85.800000000,732231.0,5504040.0,SchiefertonSandsteinKonglomeratKohlePorphyrbreccieTuff
12.321203618108417,49.574856174346365,94,MP24/BY15/Karlhof,nSvh-1,77.300000000,740092.0,5496663.0,Granit
12.477988233921176,49.586503711958414,95,MP59/BY4/Putzenrieth,nSvh-1,85.800000000,751364.0,5498470.0,Paragneis
11.887369874151803,49.93272625509892,96,MP44/BY3/Ölbrunn,nSvh-1,88.200000000,707203.0,5535148.0,Phyllit
12.543793435474047,49.54164126604123,97,MP57/BY4/Lindau,nSvh-1,54.300000000,756354.0,5493706.0,Orthogneis:granitischgranodioritisch
12.230863405997573,49.99402907389158,98,MP59/BY11/Rosenbhl,nSvh-1,65.200000000,731554.0,5542970.0,Granit
11.951846827581486,49.761827501886984,99,MP15/BY4/Pressath,nSvh-1,79.300000000,712578.0,5516332.0,SandKies
12.126511899946385,49.56185029380309,100,MP18/BY15/Grnau,nSvh-1,58.800000000,726080.0,5494614.0,Granit
12.13385936810901,49.78347510083918,101,MP5/BY15/Pillersreuth,nSvh-1,60.600000000,725583.0,5519270.0,Glimmerschiefer
11.807072744692675,49.79293867853319,102,MP5/BY4/Mnchsreuth,nSvh-1,89.300000000,702024.0,5519390.0,KalksteinMergelsteinDolomitsteinTonstein
11.842395935828426,49.82207930824654,103,MP41/BY13/Neustadt,nSvh-1,77.900000000,704443.0,5522725.0,TonsteinmitLagenvonSteinmergelundGips
11.781465851011184,49.777255578838435,104,MP4/BY4/Kotzenreuth,nSvh-1,48.900000000,700246.0,5517578.0,TonsteinmitLagenvonSteinmergelundGips
12.470177187551382,49.937051556069285,105,MP79/BY3/Altmugl,nSvh-1,70.900000000,748996.0,5537406.0,Glimmerschiefer
12.069486152876964,49.888632219752836,106,MP54/BY3/B„renh”he,nSvh-1,126.20000000,720471.0,5530767.0,Granit
12.019286507116433,49.585068576395926,107,MP28/BY15/Kohlberg,nSvh-1,94.000000000,718224.0,5496878.0,SandsteinTonstein
12.350724649273296,49.62706041839331,108,MP44/BY4/Altenstadt,nSvh-1,67.500000000,741967.0,5502560.0,Paragneis
12.278732182649415,49.923275687918284,109,MP17/BY19/Mnchsgrn,nSvh-1,64.800000000,735329.0,5535255.0,KiesSandTon
12.056743661664218,49.97578390094973,110,MP40/BY3/Waldershof,nSvh-1,78.200000000,719160.0,5540417.0,KiesSandTon
12.484722158257554,49.58622894638509,111,MP45/BY19/Putzenrieth,nSvh-1,77.800000000,751852.0,5498462.0,Paragneis
11.995042604437808,49.86722629367827,112,MP51/BY11/Beringersreuth,nSvh-1,78.900000000,715220.0,5528171.0,Phyllit
12.127321791123585,49.67286684639721,113,MP47/BY15/Frauenricht,nSvh-1,89.900000000,725625.0,5506956.0,SandsteinTonstein
12.574066682771317,49.58639835296576,114,MP58/BY4/Tillyschanz,nSvh-1,71.100000000,758307.0,5498784.0,Paragneis
12.493227979925795,49.528442925463374,115,MP56/BY4/Oberlangau,nSvh-1,84.200000000,752765.0,5492068.0,Paragneis
11.990100670917624,49.72649722943736,116,MP46/BY15/Schwarzenbach,nSvh-1,58.500000000,715489.0,5512514.0,KalksteinMergelsteinDolomitsteinTonstein
12.352736688715307,49.5843647015252,117,MP46/BY19/Wastlmhle,nSvh-1,88.800000000,742324.0,5497821.0,Paragneis
11.734081331405488,49.74371312606469,118,MP25/BY4/Kirchenthumbach,nSvh-1,52.800000000,696971.0,5513724.0,Kalk-undMergelsteinTonsteinSandstein
12.331552383735996,49.67770991402895,119,MP42/BY4/Waldthurn,nSvh-1,103.60000000,740333.0,5508128.0,Paragneis
12.232001174849977,49.862143017131295,120,MP55/BY11/Falkenberg,nSvh-1,159.40000000,732269.0,5528314.0,Granit
12.266123853026318,49.60051935188141,121,MP51/BY4/Leuchtenberg,nSvh-1,118.50000000,735987.0,5499341.0,Granit
12.138123038295616,49.599673372092575,122,MP70/BY4/Luhe,nSvh-1,78.700000000,726744.0,5498853.0,SandKiesSchotter
12.196624332362004,49.677324431460406,123,MP31/BY4/Edeldorf,nSvh-1,74.800000000,730603.0,5507662.0,SchiefertonSandsteinKonglomeratKohlePorphyrbreccieTuff
11.938735893816133,49.63681354365298,124,MP18/BY4/Thansá,nSvh-1,83.700000000,712178.0,5502399.0,SandsteinTonstein
12.288556273332013,49.56052139338995,125,MP52/BY4/Tanzmhle,nSvh-1,83.000000000,737802.0,5494966.0,Paragneis
