X,Y,STANDORT,VERFAHREN,PARAMETER,EINHEIT,MESSW_BL,LON,LAT,GEO,STRATIGRAP,GENESE,PETROGRAPH,BEMERKUNGE,name,type,name_1,type_1
12.18617473922709,49.729515145121702,StSch 4251 Oberpfalz 106,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,44.0000000000,729603,5513431,760,Oberes Proterozoikum,metamorph,Glimmerschiefer,z.T. auch glimmerreicher Gneis,,residential,,
12.194520634536659,49.762321132029314,StSch 4251 Oberpfalz 107,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,48.0000000000,730049,5517103,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
12.217348020566824,49.761607887365869,StSch 4251 Oberpfalz 108,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,39.0000000000,731696,5517094,838,Karbon,plutonisch,"Diorit, Redwitzit","Redwitzit = Granitvariante, hohe Biotit-, Hornblendegehalte (sdl. Prag auch Gabbro)",,,,
12.270495894666393,49.760523163226672,StSch 4251 Oberpfalz 109,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,47.0000000000,735528,5517139,858,Oberes Proterozoikum,berwiegend metamorph,,Typische Gesteine: Amphibolite,,,,
12.309288416955312,49.762596380410208,StSch 4251 Oberpfalz 110,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,296.0000000000,738311,5517492,833,"Oberkarbon, z.T. Rotliegend",plutonitisch,"Granit, Granodiorit","jungvariszische Granitoide, postasturisch",,,,
12.315603306399652,49.791817507473979,StSch 4251 Oberpfalz 111,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,266.0000000000,738622,5520760,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,
12.260812644489578,49.787570910180193,StSch 4251 Oberpfalz 112,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,113.0000000000,734700,5520115,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,,forest
12.233509484097247,49.787608042993028,StSch 4251 Oberpfalz 113,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,208.0000000000,732735,5520034,834,"z.T. Oberdevon, Karbon",plutonisch,Granit,variszischer Granit,,,Rohrbach Teiche,water
12.192022022790464,49.779456843253818,StSch 4251 Oberpfalz 114,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,73.0000000000,729788,5519000,838,Karbon,plutonisch,"Diorit, Redwitzit","Redwitzit = Granitvariante, hohe Biotit-, Hornblendegehalte (sdl. Prag auch Gabbro)",,,,
11.772845330444722,49.537810250588699,StSch 4251 FrÃ¤nkische Alb 33,SzintillationszÃ¤,"Rn-222 (Radon), 1 m Tie",kBq m-3,21.0000000000,700608,5490939,596,"Trias, Mittlerer Keuper, Stubensandstein",,Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen,Sandsteinkeuper,,,,
